Task,Programmability,Tacit Knowledge,Concurrent Cognitive Demand,Social and Emotional Inference,Cross-Domain Synthesis,Environmental Variability,Feedback Dependence,Stimulus Response Variability,Precision and Risk,Concurrent Motor Independence,i,j
0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0
1,0.5,1.0,1.0,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.8,0.6
2,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.0,0.0,0.4,0.2
3,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.0,0.3,0.3
4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.2
5,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.9,0.0
6,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.2
7,0.5,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.7,0.5
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
10,0.5,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0
11,0.5,0.5,0.5,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.6,0.1
12,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6,0.2
13,1.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.9,0.8
14,1.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.9,0.8
15,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
16,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.3,0.0
